,first_name,last_name,middle_name,state_name,district,gender,bioguide_id,state,party,ahca
TX-8,Kevin,Brady,P.,Texas,8,M,B000755,TX,R,Yea
TX-9,Al,Green,,Texas,9,M,G000553,TX,D,Nay
UT-1,Rob,Bishop,,Utah,1,M,B001250,UT,R,Yea
UT-2,Chris,Stewart,,Utah,2,M,S001192,UT,R,Yea
UT-3,Jason,Chaffetz,,Utah,3,M,C001076,UT,R,Yea
UT-4,Mia,Love,,Utah,4,F,L000584,UT,R,Yea
VA-1,Robert,Wittman,J.,Virginia,1,M,W000804,VA,R,Yea
VA-10,Barbara,Comstock,,Virginia,10,F,C001105,VA,R,Nay
VA-11,Gerald,Connolly,E.,Virginia,11,M,C001078,VA,D,Nay
VA-2,Scott,Taylor,,Virginia,2,M,T000477,VA,R,Yea
VA-3,Robert,Scott,C.,Virginia,3,M,S000185,VA,D,Nay
VA-4,A.,McEachin,Donald,Virginia,4,M,M001200,VA,D,Nay
VA-5,Thomas,Garrett,,Virginia,5,M,G000580,VA,R,Yea
VA-6,Bob,Goodlatte,W.,Virginia,6,M,G000289,VA,R,Yea
VA-7,David,Brat,Alan,Virginia,7,M,B001290,VA,R,Yea
VA-8,Donald,Beyer,,Virginia,8,M,B001292,VA,D,Nay
VA-9,H.,Griffith,Morgan,Virginia,9,M,G000568,VA,R,Yea
VI-0,Stacey,Plaskett,,US Virgin Islands,0,F,P000610,VI,D,
VT-0,Peter,Welch,,Vermont,0,M,W000800,VT,D,Nay
WA-1,Suzan,DelBene,K.,Washington,1,F,D000617,WA,D,Nay
WA-10,Denny,Heck,,Washington,10,M,H001064,WA,D,Nay
WA-2,Rick,Larsen,,Washington,2,M,L000560,WA,D,Nay
WA-3,Jaime,Herrera Beutler,,Washington,3,F,H001056,WA,R,Nay
WA-4,Dan,Newhouse,,Washington,4,M,N000189,WA,R,Not Voting
WA-5,Cathy,McMorris Rodgers,,Washington,5,F,M001159,WA,R,Yea
WA-6,Derek,Kilmer,,Washington,6,M,K000381,WA,D,Nay
WA-7,Pramila,Jayapal,,Washington,7,F,J000298,WA,D,Nay
WA-8,David,Reichert,G.,Washington,8,M,R000578,WA,R,Nay
WA-9,Adam,Smith,,Washington,9,M,S000510,WA,D,Nay
WI-1,Paul,Ryan,D.,Wisconsin,1,M,R000570,WI,R,Yea
WI-2,Mark,Pocan,,Wisconsin,2,M,P000607,WI,D,Nay
WI-3,Ron,Kind,James,Wisconsin,3,M,K000188,WI,D,Nay
WI-4,Gwen,Moore,,Wisconsin,4,F,M001160,WI,D,Nay
WI-5,F.,Sensenbrenner,James,Wisconsin,5,M,S000244,WI,R,Yea
WI-6,Glenn,Grothman,,Wisconsin,6,M,G000576,WI,R,Yea
WI-7,Sean,Duffy,P.,Wisconsin,7,M,D000614,WI,R,Yea
WI-8,Mike,Gallagher,,Wisconsin,8,M,G000579,WI,R,Yea
WV-1,David,McKinley,B.,West Virginia,1,M,M001180,WV,R,Yea
WV-2,Alex,Mooney,,West Virginia,2,M,M001195,WV,R,Yea
WV-3,Evan,Jenkins,,West Virginia,3,M,J000297,WV,R,Yea
WY-0,Liz,Cheney,,Wyoming,0,F,C001109,WY,R,Yea
